"Film"	"Budget"	"CA_USA"	"CA_Monde"
"Following"	6000	48482	240495
"Cavite"	7000	70071	71644
"Primer"	7000	424760	565846
"El Mariachi"	7000	2040920	2041928
"Paranormal Activity"	15000	107918810	196681656
"Clerks"	27000	3073428	3894240
"George Washington"	42000	241816	342722
"Super Size Me"	65000	11529368	29529368
"20 Dates"	66000	541636	602920
"Pi"	68000	3221152	4678513
"The Birth of a Nation"	110000	10000000	11000000
"Night of the Living Dead"	114000	12000000	30000000
"Cat People"	134000	4000000	8000000
"Tadpole"	150000	2891288	3200241
"Once"	150000	9445857	18997174
"Bacheha-Ye aseman"	180000	933933	1628579
"Malevolence"	200000	126021	345490
"Short Cut to Nirvana: Kumbh Mela"	200000	381225	439651
"Swingers"	200000	4505922	6542637
"The Stewardesses"	200000	13500000	25000000
"Mad Max"	200000	8750000	99750000
"The Big Parade"	245000	11000000	22000000
"Sticky Fingers of Time"	250000	18195	20628
"On the Outs"	250000	49772	234035
"Love and Other Catastrophes"	250000	212285	743216
"Chuck&Buck"	250000	1055671	1157672
"American Desi"	250000	902835	1366235
"The Incredibly True Adventure of Two Girls in Love"	250000	2210408	2477155
"Better Luck Tomorrow"	250000	3802390	3809226
"Lovely and Amazing"	250000	4210379	4695781
"Chasing Amy"	250000	12006514	15155095
"Ayurveda: Art of Being"	300000	16892	2066892
"When The Cat's Away"	300000	1652472	2525984
"God's Army"	300000	2637726	2652515
"Pieces of April"	300000	2528664	3284124
"Tumbleweeds"	312000	1350248	1788168
"Halloween"	325000	47000000	70000000
"Murderball"	350000	1531154	1722277
"The Evil Dead"	375000	2400000	29400000
"The Broadway Melody"	379000	2800000	4358000
"The Dark Hours"	400000	423	423
"Fabled"	400000	31425	31425
"Tarnation"	400000	592014	1162014
"Quinceanera"	400000	1692693	2522787
"Monty Python and the Holy Grail"	400000	3427696	5028948
"Napoleon Dynamite"	400000	44540956	46140956
"42nd Street"	439000	1438000	2281000
"Sunday"	450000	410919	450349
"Brick"	450000	2075743	4087493
"Hurricane Streets"	500000	334041	367582
"Lonesome Jim"	500000	154187	653013
"Mean Creek"	500000	603951	967749
"Twin Falls Idaho"	500000	985341	1027228
"Groove"	500000	1115313	1167524
"Osama"	500000	1127331	1971479
"Wordplay"	500000	3121270	3177636
"The Station Agent"	500000	5801558	7773824
"Mad Hot Ballroom"	500000	8117961	9079042
"Open Water"	500000	30500882	55116982
"Friday the 13th"	550000	39754601	59754601
"Broken Vessels"	600000	15030	85343
"The Kentucky Fried Movie"	600000	15000000	20000000
"The Blair Witch Project"	600000	140539099	248300000
"Top Hat"	609000	1782000	3202000
"Rize"	700000	3278611	4462763
"Hoop Dreams"	700000	7768371	11768371
"Undead"	750000	41196	187847
"Kevin Hart: Laugh at My Pain"	750000	7706436	7712436
"American Graffiti"	777000	115000000	140000000
"Deterrence"	800000	144583	371647
"Raising Victor Vargas"	800000	2073984	2811439
"Welcome to the Dollhouse"	800000	4198137	4726732
"4 luni, 3 saptamani si 2 zile"	900000	1196321	9796321
"Hard Candy"	950000	1024640	7024640
"Once in a Lifetime: the Extraordinary Story of the New York Cosmos"	1000000	144601	206351
"Wristcutters: A Love Story"	1000000	446165	460136
"Orgazmo"	1000000	582024	627287
"All the Real Girls"	1000000	549666	703020
"Alone with Her"	1000000	10787	840787
"Slam"	1000000	1009819	1087521
"Fiza"	1000000	623791	1179462
"Panic"	1000000	779137	1425707
"Chocolate: Deep Dark Secrets"	1000000	49000	1549000
"Walking and Talking"	1000000	1287480	1615787
"The Broken Hearts Club: A Romantic Comedy"	1000000	1744858	2022442
"Two Girls and a Guy"	1000000	2057193	2315026
"No Man's Land"	1000000	1067481	2684207
"The Sidewalks of New York"	1000000	2402459	3100834
"Next Stop, Wonderland"	1000000	3395581	3465703
"Frozen River"	1000000	2511476	5289350
"Transamerica"	1000000	9015303	15151744
"Cry Wolf"	1000000	10047674	15585495
"Dr. No"	1000000	16067035	59567035
"Rocky"	1000000	117235147	225000000
"Rocket Singh: Salesman of the Year"	1070000	164649	5348767
"Dracula: Pages from a Virgin's Diary"	1100000	39659	84788
"Wolf Creek"	1100000	16186348	27649774
"Waiting..."	1125000	16124543	18634543
"But I'm a Cheerleader"	1200000	2205627	2595216
"You Can Count on Me"	1200000	9180275	11005992
"Sex, Lies, and Videotape"	1200000	24741667	36741667
