	NbTweets	Téléspectateurs
"Lundi 18 mars 18:00-18:35"	1263	994000
"Mardi 19 mars 18:00-18:35"	1386	973000
"Mercredi 20 mars 18:00-18:35"	1449	924000
"Jeudi 21 mars 18:00-18:35"	1204	1001000
"Vendredi 22 mars 18:00-18:35"	1173	1018000
"Lundi 25 mars 17:20-18:00"	1008	1107000
"Mardi 26 mars 17:20-18:00"	951	1040000
"Mercredi 27 mars 18:00-18:35"	934	1112000
"Jeudi 28 mars 18:00-18:35"	806	962000
"Vendredi 29 mars 18:00-18:35"	977	978000
"Lundi 1er avril 18:00-18:35"	741	786000
"Mardi 2 avril 18:00-18:35"	515	926000
"Mercredi 3 avril 18:00-18:35"	581	1014000
"Jeudi 4 avril 18:00-18:35"	670	1067000
"Vendredi 5 avril 18:00-35"	648	1014000
"Lundi 8 avril 18:00-18:35"	1392	1064000
"Mardi 9 avril 18:00-18:35"	1483	1025000
"Mercredi 10 avril 18:00-18:35"	1168	937000
"Jeudi 11 avril 18:00-18:35"	1826	1113000
"Vendredi 12 avril 18:00-18:35"	1260	1000000
"Lundi 15 avril 18:00-18:35"	536	1041000
"Mardi 16 avril 18:00-18:35"	640	1128000
"Mercredi 17 avril 18:00-18:35"	557	1020000
"Jeudi 18 avril 18:00-18:35"	925	1020000
"Vendredi 19 avril 18:00-18:35"	1047	1000000
"Lundi 22 avril 18:00-18:35"	643	809000
"Mardi 23 avril 18:00-18:35"	500	927000
"Jeudi 25 avril 18:00-18:35"	451	835000
"Vendredi 26 avril 18:00-18:35"	463	750000
