"Besancenot.LCR"	"Laguiller.LO"	"Schivardi.CNRD"	"Buffet.PC"	"Royal.PS"	"Bove"	"Voynet.Les_Verts"	"Bayrou.UDF"	"Sarkozy.UMP"	"De_Villiers.MPF"	"Nihous.CPNT"	"Le_Pen.FN"
0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	2	1	1	0	0	0	0	0
0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	1	2	0	0	0
2	2	0	1	1	2	2	1	0	0	0	0
1	0	0	1	2	2	0	2	2	1	0	0
0	0	0	0	0	0	0	2	0	0	0	0
2	0	0	0	2	2	0	0	1	0	0	0
0	0	0	0	0	0	0	2	0	0	0	0
0	0	0	0	0	0	0	2	0	0	0	0
0	2	1	1	0	1	1	1	1	0	0	0
2	1	0	1	2	2	0	1	0	0	0	0
2	2	0	0	2	2	1	0	0	0	0	0
0	0	0	0	1	2	0	2	1	0	1	0
1	0	0	0	1	0	0	2	0	0	0	0
2	2	1	1	2	1	1	1	0	1	1	0
1	1	0	1	2	1	1	0	0	0	0	0
1	1	0	1	1	1	1	1	0	0	0	0
0	0	0	0	1	0	0	2	0	0	0	0
1	0	0	1	2	1	0	0	0	0	0	0
0	0	0	0	2	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	2	1	0	1
2	2	0	2	2	0	1	1	1	0	0	0
0	0	0	0	2	0	0	0	0	0	0	0
1	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	1	0	1	2	2	0	0	0
0	0	0	0	0	1	1	2	2	0	0	0
2	2	1	1	0	0	1	0	0	0	0	0
1	0	0	0	0	1	0	2	0	1	0	0
1	1	0	1	2	1	1	1	0	0	0	0
0	0	0	0	1	0	0	2	0	0	0	0
0	1	0	1	2	0	1	0	1	0	0	0
1	1	0	0	2	0	1	2	0	0	0	0
2	0	0	0	2	0	0	0	0	0	0	0
0	0	0	0	1	0	0	0	2	1	0	0
0	0	0	0	1	0	0	1	1	0	0	0
0	1	0	1	1	0	1	1	2	2	0	1
2	0	1	0	1	0	0	1	0	0	0	0
2	1	0	1	0	1	1	0	0	1	2	0
0	0	0	0	1	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	1	2	0	1	2	2	0	0	0
0	0	0	0	0	0	0	1	1	2	0	1
1	1	0	0	2	2	0	1	0	0	0	0
0	0	0	0	0	0	0	1	2	0	0	0
0	0	0	0	2	0	0	1	0	0	0	0
0	0	0	0	0	0	0	1	2	0	0	0
0	0	0	0	2	0	2	2	0	0	0	0
0	0	0	0	1	0	0	1	2	0	0	0
1	1	0	1	1	1	1	1	0	0	0	0
1	2	0	1	2	1	1	0	0	0	0	0
0	0	0	0	0	0	0	1	2	0	0	0
1	1	0	1	2	1	1	0	0	0	0	0
1	1	0	1	2	1	2	1	0	0	0	0
0	0	0	0	0	0	0	2	2	0	1	0
1	0	0	0	0	0	1	2	0	0	0	0
0	0	0	0	2	0	0	1	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0
0	1	0	0	2	0	0	0	0	0	0	0
0	0	0	0	1	1	1	2	1	2	0	0
2	0	0	0	0	0	0	0	0	0	0	0
1	1	0	1	2	1	1	2	0	0	0	0
0	0	0	0	0	0	0	0	1	2	0	1
2	0	1	1	0	1	0	1	0	1	1	0
0	0	0	0	2	1	2	2	0	0	0	0
0	0	0	0	0	0	0	1	2	1	0	0
0	0	0	0	0	0	0	1	2	1	0	0
0	0	0	0	1	1	0	1	2	0	0	1
0	1	0	0	2	1	1	2	1	0	0	0
2	2	1	2	2	0	1	2	0	0	1	1
0	0	0	0	1	0	0	1	2	0	0	0
0	0	0	0	1	0	0	0	2	0	0	1
0	0	0	1	0	1	2	2	2	0	1	1
0	1	0	0	2	1	1	2	1	0	0	0
1	1	0	2	2	2	0	0	0	0	0	0
0	0	0	1	2	0	0	0	0	0	0	0
0	0	0	2	0	0	0	1	2	2	0	0
0	0	0	0	1	0	0	2	2	1	0	0
0	0	0	0	0	0	2	0	1	2	1	0
0	0	0	0	0	0	0	1	2	0	0	0
0	0	0	0	1	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2
2	0	0	0	0	0	0	0	0	2	0	2
0	0	0	0	0	0	0	0	0	2	0	0
1	0	0	0	1	0	1	2	2	0	1	0
2	0	0	0	1	0	0	1	1	0	2	0
0	0	0	0	0	0	0	1	2	0	0	0
0	1	1	1	0	0	0	1	2	0	1	2
0	0	0	0	0	0	0	2	1	0	0	0
0	0	0	0	0	0	0	1	2	0	0	0
0	0	0	0	1	1	1	1	2	1	2	1
0	0	0	0	1	0	1	0	2	0	1	0
1	0	0	1	2	0	2	2	0	0	0	0
0	0	0	0	2	0	0	2	0	0	0	0
1	0	0	0	0	1	0	0	2	0	0	0
0	1	0	0	2	0	1	1	2	1	1	0
0	0	0	0	0	0	1	2	2	2	0	2
0	0	0	0	2	1	2	2	0	1	0	0
0	0	0	0	2	0	0	0	0	0	0	0
1	0	0	1	2	1	1	0	0	0	0	0
1	1	0	1	0	0	2	0	0	0	2	1
1	0	0	1	2	1	1	2	0	1	0	0
0	0	0	0	1	0	0	2	0	0	0	0
0	0	0	0	0	0	0	2	2	1	0	0
0	0	1	0	0	0	0	2	2	2	1	1
1	0	0	1	2	0	1	2	0	0	0	0
0	0	1	0	2	2	0	0	0	0	0	0
0	0	0	0	1	0	0	1	2	0	0	1
1	1	0	0	2	1	1	1	0	0	0	0
0	0	0	0	1	0	1	1	2	0	0	0
2	0	0	0	1	0	0	2	0	0	0	0
0	0	0	0	0	0	0	1	2	0	0	1
2	1	0	0	1	2	1	0	0	0	0	0
0	0	0	0	2	1	0	0	0	0	0	0
0	0	0	0	2	1	1	1	0	0	0	0
0	0	0	0	0	0	1	2	0	0	1	0
1	1	0	1	2	2	2	1	0	0	2	0
0	1	0	0	2	1	1	1	0	0	0	0
1	0	0	0	0	2	1	2	2	2	1	0
0	0	0	0	0	0	0	1	2	2	0	0
1	0	0	1	2	0	0	2	0	0	0	0
0	0	0	0	2	1	1	0	0	0	0	0
1	0	0	2	2	0	1	2	0	0	0	0
0	0	0	2	1	0	0	1	1	0	0	0
2	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	2	0	0
1	1	0	1	2	1	1	1	0	0	0	0
0	0	0	0	2	0	0	1	2	0	0	2
1	1	1	1	2	1	0	2	2	1	0	2
0	0	0	0	0	0	1	1	2	0	0	0
1	1	0	2	2	1	1	0	0	0	0	0
1	2	0	1	2	0	1	0	0	0	0	0
1	0	0	2	1	1	1	1	0	0	0	0
1	1	0	1	2	1	1	1	0	0	0	0
2	1	2	1	2	0	1	0	0	0	0	0
0	0	1	0	0	1	0	2	1	1	0	0
0	0	0	0	0	0	0	2	0	0	0	0
1	0	0	0	0	2	1	2	0	0	0	0
2	0	0	0	0	0	2	2	0	1	0	0
1	0	0	0	2	1	0	1	1	0	1	0
0	0	0	0	1	0	0	0	1	0	0	0
2	1	1	0	2	1	0	1	1	2	1	1
1	0	1	0	1	1	0	1	0	2	1	1
2	1	1	0	2	2	0	1	2	2	0	2
1	0	0	0	0	1	1	2	2	0	0	0
1	0	0	0	1	1	0	1	0	2	0	1
0	0	1	0	1	1	0	2	2	0	0	0
0	1	1	1	0	0	0	1	1	1	0	0
0	0	0	0	2	0	0	1	1	0	0	0
2	2	0	1	0	2	0	1	1	0	0	0
0	0	0	0	1	0	1	0	2	0	1	0
1	1	0	1	2	1	2	0	0	0	0	0
0	1	0	0	1	0	1	0	2	0	0	0
1	1	0	1	2	1	2	1	0	0	0	0
2	2	0	2	2	0	1	0	0	0	0	0
0	0	0	0	0	0	0	0	1	0	0	0
1	0	0	0	1	0	1	0	0	0	0	2
0	0	0	0	1	1	0	2	0	0	0	1
0	0	0	0	2	0	0	2	0	0	0	0
0	0	0	1	1	0	0	2	0	1	0	1
1	0	0	0	2	2	2	1	0	0	0	0
0	0	0	0	2	0	1	1	0	0	0	0
0	2	0	1	2	1	1	1	2	0	0	0
0	0	0	0	1	0	0	2	0	0	0	0
2	2	0	0	2	2	1	2	0	0	0	0
1	0	0	0	1	2	2	0	0	0	0	0
1	0	0	1	2	1	1	2	2	1	0	1
2	1	1	0	2	1	0	2	0	0	1	0
0	0	0	0	0	0	0	0	2	0	0	0
1	1	0	1	2	1	2	2	0	0	0	0
0	0	0	0	1	0	0	0	2	1	0	1
1	1	0	0	2	1	1	1	2	1	1	2
0	1	0	1	1	0	1	1	0	0	0	1
