	Design	Ecran	Ergonomie	Multimedia	Photo	Autonomie	Fabricant	Prix
"Acer Liquid Jade"	B	B	C	C	C	C	Acer	B
"Acer Liquid E3"	B	C	C	C	C	D	Acer	A
"Acer Liquid Z4"	C	D	C	C	D	C	Acer	A
"Acer Liquid S2"	C	B	A	B	C	B	Acer	D
"Acer Liquid Z5 Duo"	B	D	C	C	C	B	Acer	B
"Apple iPhone 6"	A	B	A	B	A	B	Apple	D
"Apple iPhone 6 Plus"	B	A	A	B	A	A	Apple	D
"Apple iPhone 5c"	B	A	A	B	B	C	Apple	C
"Apple iPhone 5s"	A	B	A	A	B	C	Apple	D
"Huawei Ascend Mate 7 Gold"	A	A	A	A	B	B	Huawei	D
"Huawei Ascend Mate 7"	A	A	A	A	B	B	Huawei	D
"Huawei Honor 6"	B	B	B	C	C	B	Huawei	C
"Huawei Ascend P7"	A	B	B	B	B	C	Huawei	C
"Huawei Ascend G740"	B	B	B	B	C	C	Huawei	B
"Nexus 6"	A	B	A	A	B	B	Motorola	D
"Motorola Moto X (2014)"	A	C	A	B	B	C	Motorola	C
"Motorola Moto G 2014"	B	C	A	D	B	D	Motorola	B
"Motorola Moto E"	B	C	C	D	D	D	Motorola	A
"Microsoft Lumia 535"	C	B	A	C	C	A	Nokia	A
"Nokia Lumia 830"	A	C	A	B	C	D	Nokia	C
"Microsoft Lumia 735"	A	B	A	B	C	A	Nokia	B
"Nokia Lumia 530 Dual SIM"	C	D	B	D	C	C	Nokia	A
"Nokia Lumia 930"	B	A	A	B	B	C	Nokia	C
"Nokia XL"	C	B	C	C	C	C	Nokia	A
"Nokia Lumia 635"	B	C	A	B	C	C	Nokia	A
"Samsung Galaxy A5"	A	B	B	C	C	C	Samsung	C
"Samsung Galaxy A3"	A	B	B	C	C	B	Samsung	C
"Samsung Galaxy Note Edge"	C	A	B	A	A	A	Samsung	D
"Samsung Galaxy Note 4"	B	A	A	A	A	A	Samsung	D
"Samsung Galaxy S5 mini"	B	A	A	B	B	A	Samsung	C
"Samsung Galaxy Alpha"	A	B	B	A	C	C	Samsung	C
"Samsung Galaxy Core 4G"	C	C	C	C	D	C	Samsung	B
"Sony Xperia Z3 Compact"	A	B	A	A	B	A	Sony	D
"Sony Xperia T3"	B	B	A	B	B	C	Sony	B
"Sony Xperia Z3"	C	A	A	A	B	B	Sony	D
"Sony Xperia M2"	B	C	A	C	B	C	Sony	B
"Sony Xperia T2 Ultra"	B	B	B	C	B	A	Sony	B
"Wiko Lenny"	C	D	C	D	D	D	Wiko	A
"Wiko Slide"	B	C	B	B	C	C	Wiko	A
"Wiko WAX"	B	C	C	C	C	C	Wiko	A
"Wiko Highway 4G"	A	B	A	B	C	C	Wiko	B
